"DateTime","Daily News Sentiment"
"2000-08-01 00:00:00",0.2
"2001-01-24 00:00:00",0.2
"2001-04-04 00:00:00",-0.1
"2002-10-31 00:00:00",-0.5
"2004-03-21 00:00:00",0.1
"2005-08-04 00:00:00",-0.4
"2006-04-04 00:00:00",-0.2
"2007-04-25 00:00:00",-0.1
"2008-05-01 00:00:00",-0.4
"2008-10-12 00:00:00",-0.2
"2009-01-30 00:00:00",-0.2
"2009-12-08 00:00:00",0.2
"2009-12-14 00:00:00",0.03
"2010-04-29 00:00:00",-0.3
"2010-04-30 00:00:00",-0.1
"2010-07-30 00:00:00",-0.3
"2010-09-24 00:00:00",0.2
"2010-11-30 00:00:00",0.1
"2011-01-07 00:00:00",-0.3
"2011-01-31 00:00:00",0.2
"2011-02-03 00:00:00",0.1
"2011-04-25 00:00:00",0.7
"2011-04-28 00:00:00",-0.7
"2011-05-02 00:00:00",-0.4
"2011-05-22 00:00:00",0.1
"2011-06-30 00:00:00",0.1
"2011-08-08 00:00:00",-0.2
"2011-08-09 00:00:00",0.1
"2011-08-10 00:00:00",0.1
"2011-10-06 00:00:00",0.1
"2012-01-25 00:00:00",0.4
"2012-02-13 00:00:00",-0.6
"2012-03-02 00:00:00",-0.1
"2012-03-05 00:00:00",-0.3
"2012-04-05 00:00:00",-0.3
"2012-04-27 00:00:00",0.2
"2012-05-29 00:00:00",-0.1
"2012-07-26 00:00:00",-0.4
"2012-08-20 00:00:00",-0.1
"2012-08-21 00:00:00",-0.1
"2012-09-27 00:00:00",0.1
"2013-02-01 00:00:00",-0.3
"2013-04-15 00:00:00",-0.3
"2013-04-16 00:00:00",-0.1
"2013-07-07 00:00:00",0.2
"2013-08-16 00:00:00",-0.1
"2013-09-10 00:00:00",-0.3
"2013-09-26 00:00:00",-0.2
"2013-10-17 00:00:00",0.3
"2013-11-22 00:00:00",0.3
"2013-12-12 00:00:00",-0.3
"2014-01-10 00:00:00",0.1
"2014-01-31 00:00:00",0.1
"2014-02-08 00:00:00",0.1
"2014-02-18 00:00:00",0.1
"2014-02-20 00:00:00",-0.6
"2014-03-05 00:00:00",0.2
"2014-03-24 00:00:00",-0.1
"2014-05-30 00:00:00",0.1
"2014-06-17 00:00:00",-0.3
"2014-07-01 00:00:00",-0.3
"2014-08-26 00:00:00",0.1
"2014-09-24 00:00:00",-0.3
"2014-09-27 00:00:00",-0.6
"2014-10-10 00:00:00",-0.3
"2014-10-31 00:00:00",-0.1
"2014-11-06 00:00:00",-0.2
"2014-11-11 00:00:00",-0.5
"2014-11-24 00:00:00",-0.1
"2014-11-28 00:00:00",0
"2014-12-03 00:00:00",-0.5
"2014-12-05 00:00:00",-0.5
"2014-12-09 00:00:00",0.2
"2014-12-11 00:00:00",0.1
"2014-12-13 00:00:00",-0.2
"2014-12-19 00:00:00",-0.1
"2015-02-06 00:00:00",-0.1
"2015-02-17 00:00:00",-0.2
"2015-02-18 00:00:00",0.05
"2015-03-02 00:00:00",-0.7
"2015-03-04 00:00:00",-0.2
"2015-03-05 00:00:00",0.1
"2015-04-20 00:00:00",-0.4
"2015-06-18 00:00:00",-0.2
"2015-06-25 00:00:00",-0.2
"2015-07-11 00:00:00",0.1
"2015-07-22 00:00:00",0.2
"2015-07-28 00:00:00",-0.2
"2015-07-31 00:00:00",-0.2
"2015-08-13 00:00:00",0.4
"2015-09-16 00:00:00",-0.2
"2015-09-18 00:00:00",-0.3
"2015-10-02 00:00:00",0.1
"2015-11-05 00:00:00",-0.1
"2015-11-10 00:00:00",-0.1
"2016-01-21 00:00:00",-0.4
"2016-02-02 00:00:00",-0.55
"2016-02-20 00:00:00",-0.2
"2016-03-08 00:00:00",-0.2
"2016-03-09 00:00:00",-0.2
"2016-04-03 00:00:00",-0.2
"2016-04-07 00:00:00",-0.4
"2016-04-21 00:00:00",0.3
