Date,target,predicted
2017-04-04,82.37,82.46379999999999
2017-04-05,82.53,82.30709999999993
2017-04-06,83.01,82.6155000000001
2017-04-07,82.76,82.72460000000014
2017-04-08,82.76,82.72570000000015
2017-04-09,82.76,82.72570000000015
2017-04-10,83.13,82.76320000000007
2017-04-11,82.84,82.71350000000008
2017-04-12,82.97,82.20740000000005
2017-04-13,81.69,81.66009999999984
2017-04-14,81.69,81.67239999999984
2017-04-15,81.69,81.67239999999984
2017-04-16,81.69,81.67239999999984
2017-04-17,81.58,81.82199999999996
2017-04-18,81.05,81.12620000000007
2017-04-19,80.49,80.91789999999989
2017-04-20,81.01,81.48660000000012
2017-04-21,80.69,80.77589999999985
2017-04-22,80.69,80.78069999999984
2017-04-23,80.69,80.78069999999984
2017-04-24,81.11,81.2669999999999
2017-04-25,81.73,81.53049999999989
2017-04-26,81.4,81.47729999999987
2017-04-27,81.26,81.35250000000008
2017-04-28,81.65,81.73909999999987
2017-04-29,81.65,81.70109999999985
2017-04-30,81.65,81.70109999999985
2017-05-01,82.06,82.17630000000014
2017-05-02,82.05,81.99920000000013
2017-05-03,82.7,82.38249999999998
2017-05-04,81.64,81.79690000000012
2017-05-05,82.02,82.0132000000002
2017-05-06,82.02,82.00330000000022
2017-05-07,82.02,82.00330000000022
2017-05-08,82.89,82.61020000000013
2017-05-09,82.31,81.61950000000013
2017-05-10,81.91,82.12369999999996
2017-05-11,82.61,82.45939999999993
2017-05-12,82.55,82.5312000000001
2017-05-13,82.55,82.53930000000011
2017-05-14,82.55,82.53930000000011
2017-05-15,82.8,82.6491000000001
2017-05-16,82.55,82.48390000000009
2017-05-17,81.99,82.02299999999993
2017-05-18,81.75,81.9761
2017-05-19,81.93,81.94100000000009
2017-05-20,81.93,81.92340000000011
2017-05-21,81.93,81.92340000000011
2017-05-22,82.29,82.22579999999998
2017-05-23,82.58,82.39079999999996
2017-05-24,82.29,81.9905
2017-05-25,81.75,81.52980000000002
2017-05-26,81.55,81.53540000000011
2017-05-27,81.55,81.55980000000012
2017-05-28,81.55,81.55980000000012
2017-05-29,81.55,81.55980000000012
2017-05-30,81.1,81.11430000000009
2017-05-31,80.5,80.6623
2017-06-01,80.7,80.81299999999992
2017-06-02,79.5,79.66809999999998
2017-06-03,79.5,79.6039
2017-06-04,79.5,79.6039
2017-06-05,80.12,80.38909999999991
2017-06-06,81.21,81.1009
2017-06-07,80.91,80.89219999999992
2017-06-08,80.62,80.95299999999995
2017-06-09,82.13,82.01920000000007
2017-06-10,82.13,82.09740000000009
2017-06-11,82.13,82.09740000000009
2017-06-12,82.93,82.41040000000007
2017-06-13,82.96,82.2737
2017-06-14,82.07,81.6987999999999
2017-06-15,82.26,82.40230000000011
2017-06-16,83.49,83.23919999999991
